country,year,food_supply,region,lifeexpband
"Congo, Rep.",1963,2090.0,Sub-Saharan Africa,L
Costa Rica,1963,2030.0,Latin America & Caribbean,H
Cote d'Ivoire,1963,2500.0,,L
Croatia,1963,,Europe & Central Asia,H
Cuba,1963,2390.0,Latin America & Caribbean,H
Cyprus,1963,2370.0,Europe & Central Asia,H
Czech Republic,1963,,Europe & Central Asia,H
Denmark,1963,3100.0,Europe & Central Asia,H
Djibouti,1963,1600.0,Middle East & North Africa,M
Dominica,1963,1840.0,Latin America & Caribbean,M
Dominican Republic,1963,1850.0,Latin America & Caribbean,H
Ecuador,1963,2070.0,Latin America & Caribbean,H
Egypt,1963,2170.0,Middle East & North Africa,M
El Salvador,1963,1650.0,Latin America & Caribbean,H
Estonia,1963,,Europe & Central Asia,H
Ethiopia,1963,,Sub-Saharan Africa,M
Fiji,1963,2720.0,East Asia & Pacific,M
Finland,1963,3070.0,Europe & Central Asia,H
France,1963,3230.0,Europe & Central Asia,H
Gabon,1963,1880.0,Sub-Saharan Africa,M
Gambia,1963,2120.0,,M
Georgia,1963,,Europe & Central Asia,H
Germany,1963,2900.0,Europe & Central Asia,H
Ghana,1963,1850.0,Sub-Saharan Africa,M
Greece,1963,2790.0,Europe & Central Asia,H
Grenada,1963,1860.0,Latin America & Caribbean,M
Guatemala,1963,1890.0,Latin America & Caribbean,M
Guinea,1963,1940.0,Sub-Saharan Africa,L
Guinea-Bissau,1963,1600.0,Sub-Saharan Africa,L
Guyana,1963,2260.0,Latin America & Caribbean,M
Haiti,1963,1940.0,Latin America & Caribbean,L
Honduras,1963,1870.0,Latin America & Caribbean,M
Hungary,1963,3080.0,Europe & Central Asia,H
Iceland,1963,3100.0,Europe & Central Asia,H
India,1963,1970.0,South Asia,M
Indonesia,1963,1820.0,East Asia & Pacific,M
Iran,1963,1790.0,Middle East & North Africa,H
Iraq,1963,1980.0,Middle East & North Africa,M
Ireland,1963,3390.0,Europe & Central Asia,H
Israel,1963,2750.0,Middle East & North Africa,H
Italy,1963,3090.0,Europe & Central Asia,H
Jamaica,1963,2030.0,Latin America & Caribbean,H
Japan,1963,2610.0,East Asia & Pacific,H
Jordan,1963,2170.0,Middle East & North Africa,H
